Song Title,Artist,Year,Information,Wikipedia Link,YouTube Link
I Want My Baby Back,Jimmy Cross,1965,"In 1977, British DJ Kenny Everett named the novelty song as the absolute worst of a bottom thirty song listing done after a public vote. The single was a moderate commercial success but killed the singing career of its vocalist, Jimmy Cross, who failed to achieve any kind of traction with serious work afterward. A parody of the teenage tragedy song trend, the lyrics of the song feature a male protagonist lamenting the death of his girlfriend before, finally, joining her in her coffin. In the book The World's Worst Records: Volume One, music critic Darryl W. Bullock wrote that the track is '[r]outinely considered the worst record of all time'.",https://en.wikipedia.org/wiki/Jimmy_Cross,https://www.youtube.com/watch?v=Zo8DhbQw_O4
(You're) Having My Baby,Paul Anka,1974,No. 1 worst song as voted on by CNN.com users in 2006.,https://en.wikipedia.org/wiki/(You%27re)_Having_My_Baby,https://www.youtube.com/watch?v=SFHWl-ZyRAg
Dance with Me,Reginald Bosanquet,1980,"A disco song with lyrics narrated in the style of a British newscast (Bosanquet was a news anchor for Independent Television News at the time), was voted number one 1 in the Bottom 30 by listeners of British DJ Kenny Everett in 1980.",https://en.wikipedia.org/wiki/Reginald_Bosanquet#Later_career,https://www.youtube.com/watch?v=SpwVB_NGM1E
Agadoo,Black Lace,1984,"Many newspaper and internet music critics agree that this song is one of the worst ever. When it was re-released in 2009, many newspapers began with the headline 'worst song ever'. It was ranked the worst song in pop history in a The Guardian newspaper article in 2009. It was banned from being played on BBC Radio 1 for a period because 'it was not credible'. It was also rated the worst song ever in a Q Magazine poll in 2003.",https://en.wikipedia.org/wiki/Agadoo,https://www.youtube.com/watch?v=Bdzo_vm43Zw
We Built This City,Starship,1985,"Despite this single off the group's album Knee Deep in the Hoopla being a #1 hit, it ranked #1 in 'Run for Your Life! It's the 50 Worst Songs Ever!' list in Blender, and 'The 10 Worst Songs of the 1980s', Rolling Stone",https://en.wikipedia.org/wiki/We_Built_This_City,https://www.youtube.com/watch?v=K1b8AhIsSYQ
Mr Blobby,Mr Blobby,1993,"This was a novelty single, released as an ultimately successful Christmas number-one single campaign, that featured Mr Blobby, a gag character featured on the TV series Noel's House Party. Reviews were extremely negative. It is generally considered the worst Christmas song ever among UK critics and, among a more general group, ranked third among songs that have charted in the top 10 in a poll by the Scottish Daily Record and second among songs that had hit number-one in a compilation by VH1.",https://en.wikipedia.org/wiki/Mr_Blobby_(song),https://www.youtube.com/watch?v=h37KQu64RY4
Life,Des'ree,1998,"Although 'Life' was Des'ree's biggest hit, the song was widely mocked for its lyrics. The song, and in particular the verse 'I don't want to see a ghost/It's the sight that I fear most/I'd rather have a piece of toast/Watch the evening news', has been voted as having the worst lyrics ever in polls by the BBC,[45] The Independent,[46] and the Herald Sun.[47]",https://en.wikipedia.org/wiki/Life_(Des%27ree_song),https://www.youtube.com/watch?v=7cbpY65NTd8
The Millennium Prayer,Cliff Richard,1999,VH1 labeled this the worst number one record of all time after a poll.,https://en.wikipedia.org/wiki/The_Millennium_Prayer,https://www.youtube.com/watch?v=X6AV8DmJ6zY
The Christmas Shoes,NewSong,2000,"The song has appeared on various 'worst Christmas song' lists In 2011, the song was named 'The Worst Christmas Song Ever' by Gawker.com, following a weeks-long survey of commenter votes.",https://en.wikipedia.org/wiki/The_Christmas_Shoes_(song),https://www.youtube.com/watch?v=PJWvysAdGYk
Who Let the Dogs Out,Baha Men,2000,Number one on Spinner's 'Top 20 Worst Songs Ever'.,https://en.wikipedia.org/wiki/Who_Let_the_Dogs_Out%3F,https://www.youtube.com/watch?v=He82NBjJqf8
The Cheeky Song (Touch My Bum),The Cheeky Girls,2002,Voted the no. 1 'worst pop record' by Channel 4 viewers in a poll broadcast in January 2004.,https://en.wikipedia.org/wiki/The_Cheeky_Song_(Touch_My_Bum),https://www.youtube.com/watch?v=25qljXlGdQc
You're Beautiful,James Blunt ,2005,"Spike called it 'the worst song in the history of mankind', and music fans voted it the most irritating song ever in a OnePoll survey. Gigwise placed it first in 'The 20 Worst Love Songs Of All Time'. It was also ranked first in Heavy.com's recounting of the worst songs of the 2000s.",https://en.wikipedia.org/wiki/You%27re_Beautiful,https://www.youtube.com/watch?v=oofSnsGkops
My Humps,The Black Eyed Peas,2005,My Humps' is regarded by many critics as one of the worst songs of all time. Rolling Stone readers voted the track number one in the '20 Most Annoying Songs' list.,https://en.wikipedia.org/wiki/My_Humps#Derision_and_accolades,https://www.youtube.com/watch?v=iEe_eraFWWs
